"Unnamed: 0","date","home_team","away_team","home_score","away_score","tournament"
0,"1872-11-30","Scotland","England",0,0,"Friendly"
1,"1873-03-08","England","Scotland",4,2,"Friendly"
2,"1874-03-07","Scotland","England",2,1,"Friendly"
3,"1875-03-06","England","Scotland",2,2,"Friendly"
4,"1876-03-04","Scotland","England",3,0,"Friendly"
5,"1876-03-25","Scotland","Wales",4,0,"Friendly"
6,"1877-03-03","England","Scotland",1,3,"Friendly"
7,"1877-03-05","Wales","Scotland",0,2,"Friendly"
8,"1878-03-02","Scotland","England",7,2,"Friendly"
9,"1878-03-23","Scotland","Wales",9,0,"Friendly"
10,"1879-01-18","England","Wales",2,1,"Friendly"
11,"1879-04-05","England","Scotland",5,4,"Friendly"
12,"1879-04-07","Wales","Scotland",0,3,"Friendly"
13,"1880-03-13","Scotland","England",5,4,"Friendly"
14,"1880-03-15","Wales","England",2,3,"Friendly"
15,"1880-03-27","Scotland","Wales",5,1,"Friendly"
16,"1881-02-26","England","Wales",0,1,"Friendly"
17,"1881-03-12","England","Scotland",1,6,"Friendly"
18,"1881-03-14","Wales","Scotland",1,5,"Friendly"
19,"1882-02-18","Northern Ireland","England",0,13,"Friendly"
20,"1882-02-25","Wales","Northern Ireland",7,1,"Friendly"
21,"1882-03-11","Scotland","England",5,1,"Friendly"
22,"1882-03-13","Wales","England",5,3,"Friendly"
23,"1882-03-25","Scotland","Wales",5,0,"Friendly"
24,"1883-02-03","England","Wales",5,0,"Friendly"
25,"1883-02-24","England","Northern Ireland",7,0,"Friendly"
26,"1883-03-10","England","Scotland",2,3,"Friendly"
27,"1883-03-12","Wales","Scotland",0,3,"Friendly"
28,"1883-03-17","Northern Ireland","Wales",1,1,"Friendly"
29,"1884-01-26","Northern Ireland","Scotland",0,5,"British Home Championship"
30,"1884-02-09","Wales","Northern Ireland",6,0,"British Home Championship"
31,"1884-02-23","Northern Ireland","England",1,8,"British Home Championship"
32,"1884-03-15","Scotland","England",1,0,"British Home Championship"
33,"1884-03-17","Wales","England",0,4,"British Home Championship"
34,"1884-03-29","Scotland","Wales",4,1,"British Home Championship"
35,"1885-02-28","England","Northern Ireland",4,0,"British Home Championship"
36,"1885-03-14","England","Wales",1,1,"British Home Championship"
37,"1885-03-14","Scotland","Northern Ireland",8,2,"British Home Championship"
38,"1885-03-21","England","Scotland",1,1,"British Home Championship"
39,"1885-03-23","Wales","Scotland",1,8,"British Home Championship"
40,"1885-04-11","Northern Ireland","Wales",2,8,"British Home Championship"
41,"1885-11-28","United States","Canada",0,1,"Friendly"
42,"1886-02-27","Wales","Northern Ireland",5,0,"British Home Championship"
43,"1886-03-13","Northern Ireland","England",1,6,"British Home Championship"
44,"1886-03-20","Northern Ireland","Scotland",2,7,"British Home Championship"
45,"1886-03-27","Scotland","England",1,1,"British Home Championship"
46,"1886-03-29","Wales","England",1,3,"British Home Championship"
47,"1886-04-10","Scotland","Wales",4,1,"British Home Championship"
48,"1886-11-25","United States","Canada",3,2,"Friendly"
49,"1887-02-05","England","Northern Ireland",7,0,"British Home Championship"
50,"1887-02-19","Scotland","Northern Ireland",4,1,"British Home Championship"
51,"1887-02-26","England","Wales",4,0,"British Home Championship"
52,"1887-03-12","Northern Ireland","Wales",4,1,"British Home Championship"
53,"1887-03-19","England","Scotland",2,3,"British Home Championship"
54,"1887-03-21","Wales","Scotland",0,2,"British Home Championship"
55,"1888-02-04","England","Wales",5,1,"British Home Championship"
56,"1888-03-03","Wales","Northern Ireland",11,0,"British Home Championship"
57,"1888-03-10","Scotland","Wales",5,1,"British Home Championship"
58,"1888-03-17","Scotland","England",0,5,"British Home Championship"
59,"1888-03-24","Northern Ireland","Scotland",2,10,"British Home Championship"
60,"1888-04-07","Northern Ireland","England",1,5,"British Home Championship"
61,"1888-09-19","Scotland","Canada",4,0,"Friendly"
62,"1889-02-23","England","Wales",4,1,"British Home Championship"
63,"1889-03-02","England","Northern Ireland",6,1,"British Home Championship"
64,"1889-03-09","Scotland","Northern Ireland",7,0,"British Home Championship"
65,"1889-04-13","England","Scotland",2,3,"British Home Championship"
66,"1889-04-15","Wales","Scotland",0,0,"British Home Championship"
67,"1889-04-27","Northern Ireland","Wales",1,3,"British Home Championship"
68,"1890-02-08","Wales","Northern Ireland",5,2,"British Home Championship"
69,"1890-03-15","Northern Ireland","England",1,9,"British Home Championship"
70,"1890-03-15","Wales","England",1,3,"British Home Championship"
71,"1890-03-22","Scotland","Wales",5,0,"British Home Championship"
72,"1890-03-29","Northern Ireland","Scotland",1,4,"British Home Championship"
73,"1890-04-05","Scotland","England",1,1,"British Home Championship"
74,"1891-02-07","Northern Ireland","Wales",7,2,"British Home Championship"
75,"1891-03-07","England","Wales",4,1,"British Home Championship"
76,"1891-03-07","England","Northern Ireland",6,1,"British Home Championship"
77,"1891-03-21","Wales","Scotland",3,4,"British Home Championship"
78,"1891-03-28","Scotland","Northern Ireland",2,1,"British Home Championship"
79,"1891-04-06","England","Scotland",2,1,"British Home Championship"
80,"1892-02-27","Wales","Northern Ireland",1,1,"British Home Championship"
81,"1892-03-05","Northern Ireland","England",0,2,"British Home Championship"
82,"1892-03-05","Wales","England",0,2,"British Home Championship"
83,"1892-03-19","Northern Ireland","Scotland",2,3,"British Home Championship"
84,"1892-03-26","Scotland","Wales",6,1,"British Home Championship"
85,"1892-04-02","Scotland","England",1,4,"British Home Championship"
86,"1893-02-25","England","Northern Ireland",6,1,"British Home Championship"
87,"1893-03-13","England","Wales",6,0,"British Home Championship"
88,"1893-03-18","Wales","Scotland",0,8,"British Home Championship"
89,"1893-03-25","Scotland","Northern Ireland",6,1,"British Home Championship"
90,"1893-04-01","England","Scotland",5,2,"British Home Championship"
91,"1894-02-24","Wales","Northern Ireland",4,1,"British Home Championship"
92,"1894-03-03","Northern Ireland","England",2,2,"British Home Championship"
93,"1894-03-12","Wales","England",1,5,"British Home Championship"
94,"1894-03-24","Scotland","Wales",5,2,"British Home Championship"
95,"1894-03-31","Northern Ireland","Scotland",1,2,"British Home Championship"
96,"1894-04-07","Scotland","England",2,2,"British Home Championship"
97,"1895-03-09","England","Northern Ireland",9,0,"British Home Championship"
98,"1895-03-16","Northern Ireland","Wales",2,2,"British Home Championship"
99,"1895-03-18","England","Wales",1,1,"British Home Championship"
100,"1895-03-23","Wales","Scotland",2,2,"British Home Championship"
101,"1895-03-30","Scotland","Northern Ireland",3,1,"British Home Championship"
102,"1895-04-06","England","Scotland",3,0,"British Home Championship"
103,"1896-02-29","Wales","Northern Ireland",6,1,"British Home Championship"
104,"1896-03-07","Northern Ireland","England",0,2,"British Home Championship"
105,"1896-03-16","Wales","England",1,9,"British Home Championship"
106,"1896-03-21","Scotland","Wales",4,0,"British Home Championship"
107,"1896-03-28","Northern Ireland","Scotland",3,3,"British Home Championship"
108,"1896-04-04","Scotland","England",2,1,"British Home Championship"
109,"1897-02-20","England","Northern Ireland",6,0,"British Home Championship"
110,"1897-03-06","Northern Ireland","Wales",4,3,"British Home Championship"
111,"1897-03-20","Wales","Scotland",2,2,"British Home Championship"
112,"1897-03-27","Scotland","Northern Ireland",5,1,"British Home Championship"
113,"1897-03-29","England","Wales",4,0,"British Home Championship"
114,"1897-04-03","England","Scotland",1,2,"British Home Championship"
115,"1898-02-19","Wales","Northern Ireland",0,1,"British Home Championship"
116,"1898-03-05","Northern Ireland","England",2,3,"British Home Championship"
117,"1898-03-19","Scotland","Wales",5,2,"British Home Championship"
118,"1898-03-26","Northern Ireland","Scotland",0,3,"British Home Championship"
119,"1898-03-28","Wales","England",0,3,"British Home Championship"
120,"1898-04-02","Scotland","England",1,3,"British Home Championship"
121,"1899-02-18","England","Northern Ireland",13,2,"British Home Championship"
122,"1899-03-04","Northern Ireland","Wales",1,0,"British Home Championship"
123,"1899-03-18","Wales","Scotland",0,6,"British Home Championship"
124,"1899-03-20","England","Wales",4,0,"British Home Championship"
125,"1899-03-25","Scotland","Northern Ireland",9,1,"British Home Championship"
126,"1899-04-08","England","Scotland",2,1,"British Home Championship"
127,"1900-02-03","Scotland","Wales",5,2,"British Home Championship"
128,"1900-02-24","Wales","Northern Ireland",2,0,"British Home Championship"
129,"1900-03-03","Northern Ireland","Scotland",0,3,"British Home Championship"
130,"1900-03-17","Northern Ireland","England",0,2,"British Home Championship"
131,"1900-03-26","Wales","England",1,1,"British Home Championship"
132,"1900-04-07","Scotland","England",4,1,"British Home Championship"
133,"1901-02-23","Scotland","Northern Ireland",11,0,"British Home Championship"
134,"1901-03-02","Wales","Scotland",1,1,"British Home Championship"
135,"1901-03-09","England","Northern Ireland",3,0,"British Home Championship"
136,"1901-03-18","England","Wales",6,0,"British Home Championship"
137,"1901-03-23","Northern Ireland","Wales",0,1,"British Home Championship"
138,"1901-03-30","England","Scotland",2,2,"British Home Championship"
139,"1902-02-22","Wales","Northern Ireland",0,3,"British Home Championship"
140,"1902-03-01","Northern Ireland","Scotland",1,5,"British Home Championship"
141,"1902-03-03","Wales","England",0,0,"British Home Championship"
142,"1902-03-15","Scotland","Wales",5,1,"British Home Championship"
143,"1902-03-22","Northern Ireland","England",0,1,"British Home Championship"
144,"1902-05-03","England","Scotland",2,2,"British Home Championship"
145,"1902-07-20","Uruguay","Argentina",0,6,"Friendly"
146,"1902-10-12","Austria","Hungary",5,0,"Friendly"
147,"1903-02-14","England","Northern Ireland",4,0,"British Home Championship"
148,"1903-03-02","England","Wales",2,1,"British Home Championship"
149,"1903-03-09","Wales","Scotland",0,1,"British Home Championship"
150,"1903-03-21","Scotland","Northern Ireland",0,2,"British Home Championship"
151,"1903-03-28","Northern Ireland","Wales",2,0,"British Home Championship"
152,"1903-04-04","England","Scotland",1,2,"British Home Championship"
153,"1903-04-05","Hungary","Czechoslovakia",2,1,"Friendly"
154,"1903-06-11","Hungary","Austria",3,2,"Friendly"
155,"1903-09-13","Argentina","Uruguay",2,3,"Friendly"
156,"1903-10-11","Austria","Hungary",4,2,"Friendly"
157,"1904-02-29","Wales","England",2,2,"British Home Championship"
158,"1904-03-12","Northern Ireland","England",1,3,"British Home Championship"
159,"1904-03-12","Scotland","Wales",1,1,"British Home Championship"
160,"1904-03-21","Wales","Northern Ireland",0,1,"British Home Championship"
161,"1904-03-26","Northern Ireland","Scotland",1,1,"British Home Championship"
162,"1904-04-09","Scotland","England",0,1,"British Home Championship"
163,"1904-05-01","Belgium","France",3,3,"Évence Coppée Trophy"
164,"1904-06-02","Hungary","Austria",3,0,"Friendly"
165,"1904-10-09","Austria","Hungary",5,4,"Friendly"
166,"1905-02-12","France","Switzerland",1,0,"Friendly"
167,"1905-02-25","England","Northern Ireland",1,1,"British Home Championship"
168,"1905-03-06","Wales","Scotland",3,1,"British Home Championship"
169,"1905-03-18","Scotland","Northern Ireland",4,0,"British Home Championship"
170,"1905-03-27","England","Wales",3,1,"British Home Championship"
171,"1905-04-01","England","Scotland",1,0,"British Home Championship"
172,"1905-04-08","Northern Ireland","Wales",2,2,"British Home Championship"
173,"1905-04-09","Hungary","Austria",0,0,"Friendly"
174,"1905-04-30","Belgium","Netherlands",1,4,"Friendly"
175,"1905-05-07","Belgium","France",7,0,"Friendly"
176,"1905-05-14","Netherlands","Belgium",4,0,"Friendly"
177,"1905-08-15","Argentina","Uruguay",0,0,"Copa Lipton"
178,"1906-02-17","Northern Ireland","England",0,5,"British Home Championship"
179,"1906-03-03","Scotland","Wales",0,2,"British Home Championship"
180,"1906-03-17","Northern Ireland","Scotland",0,1,"British Home Championship"
181,"1906-03-19","Wales","England",0,1,"British Home Championship"
182,"1906-04-01","Hungary","Czechoslovakia",1,1,"Friendly"
183,"1906-04-02","Wales","Northern Ireland",4,4,"British Home Championship"
184,"1906-04-07","Scotland","England",2,1,"British Home Championship"
185,"1906-04-22","France","Belgium",0,5,"Friendly"
186,"1906-04-29","Belgium","Netherlands",5,0,"Friendly"
187,"1906-05-13","Netherlands","Belgium",2,3,"Friendly"
188,"1906-08-15","Uruguay","Argentina",0,2,"Copa Lipton"
189,"1906-10-07","Czechoslovakia","Hungary",4,4,"Friendly"
190,"1906-10-21","Argentina","Uruguay",2,1,"Copa Newton"
191,"1906-11-04","Hungary","Austria",3,1,"Friendly"
192,"1907-02-16","England","Northern Ireland",1,0,"British Home Championship"
193,"1907-02-23","Northern Ireland","Wales",2,3,"British Home Championship"
194,"1907-03-04","Wales","Scotland",1,0,"British Home Championship"
195,"1907-03-16","Scotland","Northern Ireland",3,0,"British Home Championship"
196,"1907-03-18","England","Wales",1,1,"British Home Championship"
197,"1907-04-06","England","Scotland",1,1,"British Home Championship"
198,"1907-04-07","Hungary","Czechoslovakia",5,2,"Friendly"
199,"1907-04-14","Belgium","Netherlands",1,3,"Friendly"
200,"1907-04-21","Belgium","France",1,2,"Friendly"
201,"1907-05-05","Austria","Hungary",3,1,"Friendly"
202,"1907-05-09","Netherlands","Belgium",1,2,"Friendly"
203,"1907-10-06","Czechoslovakia","Hungary",5,3,"Friendly"
204,"1907-11-03","Hungary","Austria",4,1,"Friendly"
205,"1908-02-15","Northern Ireland","England",1,3,"British Home Championship"
206,"1908-03-07","Scotland","Wales",2,1,"British Home Championship"
207,"1908-03-08","Switzerland","France",1,2,"Friendly"
208,"1908-03-14","Northern Ireland","Scotland",0,5,"British Home Championship"
209,"1908-03-16","Wales","England",1,7,"British Home Championship"
210,"1908-03-29","Belgium","Netherlands",1,4,"Friendly"
211,"1908-04-04","Scotland","England",1,1,"British Home Championship"
212,"1908-04-05","Hungary","Czechoslovakia",5,2,"Friendly"
213,"1908-04-05","Switzerland","Germany",5,3,"Friendly"
214,"1908-04-11","Wales","Northern Ireland",0,1,"British Home Championship"
215,"1908-04-12","France","Belgium",1,2,"Friendly"
216,"1908-04-26","Netherlands","Belgium",3,1,"Friendly"
217,"1908-05-03","Austria","Hungary",4,0,"Friendly"
218,"1908-05-10","Netherlands","France",4,1,"Friendly"
219,"1908-06-06","Austria","England",1,6,"Friendly"
220,"1908-06-07","Austria","Germany",3,2,"Friendly"
221,"1908-06-08","Austria","England",1,11,"Friendly"
222,"1908-06-10","Hungary","England",0,7,"Friendly"
223,"1908-06-13","Czechoslovakia","England",0,4,"Friendly"
224,"1908-07-12","Sweden","Norway",11,3,"Friendly"
225,"1908-08-15","Uruguay","Argentina",2,2,"Copa Lipton"
226,"1908-09-13","Argentina","Uruguay",2,1,"Copa Newton"
227,"1908-10-04","Argentina","Uruguay",0,1,"Copa Premio Honor Argentino"
228,"1908-10-25","Netherlands","Sweden",5,3,"Friendly"
229,"1908-10-26","Belgium","Sweden",2,1,"Friendly"
230,"1908-11-01","Hungary","Austria",5,3,"Friendly"
231,"1909-02-13","England","Northern Ireland",4,0,"British Home Championship"
232,"1909-03-01","Wales","Scotland",3,2,"British Home Championship"
233,"1909-03-15","England","Wales",2,0,"British Home Championship"
234,"1909-03-15","Scotland","Northern Ireland",5,0,"British Home Championship"
235,"1909-03-20","Northern Ireland","Wales",2,3,"British Home Championship"
236,"1909-03-21","Belgium","Netherlands",1,4,"Friendly"
237,"1909-04-03","England","Scotland",2,0,"British Home Championship"
238,"1909-04-04","Germany","Switzerland",1,0,"Friendly"
239,"1909-04-04","Hungary","Germany",3,3,"Friendly"
240,"1909-04-25","Netherlands","Belgium",4,1,"Friendly"
241,"1909-05-02","Austria","Hungary",3,4,"Friendly"
242,"1909-05-09","Belgium","France",5,2,"Friendly"
243,"1909-05-29","Hungary","England",2,4,"Friendly"
244,"1909-05-30","Hungary","Austria",1,1,"Friendly"
245,"1909-05-31","Hungary","England",2,8,"Friendly"
246,"1909-06-01","Austria","England",1,8,"Friendly"
247,"1909-08-15","Argentina","Uruguay",2,1,"Copa Lipton"
248,"1909-09-19","Uruguay","Argentina",2,2,"Copa Newton"
249,"1909-10-10","Argentina","Uruguay",3,1,"Copa Premio Honor Argentino"
250,"1909-11-07","Hungary","Austria",2,2,"Friendly"
251,"1910-02-12","Northern Ireland","England",1,1,"British Home Championship"
252,"1910-03-05","Scotland","Wales",1,0,"British Home Championship"
253,"1910-03-13","Belgium","Netherlands",3,2,"Friendly"
254,"1910-03-14","Wales","England",0,1,"British Home Championship"
255,"1910-03-19","Northern Ireland","Scotland",1,0,"British Home Championship"
256,"1910-04-02","Scotland","England",2,0,"British Home Championship"
257,"1910-04-03","France","Belgium",0,4,"Friendly"
258,"1910-04-03","Switzerland","Germany",2,3,"Friendly"
259,"1910-04-10","Netherlands","Belgium",7,0,"Friendly"
260,"1910-04-11","Wales","Northern Ireland",4,1,"British Home Championship"
261,"1910-04-24","Netherlands","Germany",4,2,"Friendly"
262,"1910-05-01","Austria","Hungary",2,1,"Friendly"
263,"1910-05-15","Italy","France",6,2,"Friendly"
264,"1910-05-16","Germany","Belgium",0,3,"Friendly"
265,"1910-05-26","Hungary","Italy",6,1,"Friendly"
266,"1910-05-27","Argentina","Chile",3,1,"Friendly"
267,"1910-05-29","Chile","Uruguay",0,3,"Friendly"
268,"1910-06-05","Argentina","Chile",5,1,"Friendly"
269,"1910-06-12","Argentina","Uruguay",4,1,"Friendly"
270,"1910-08-15","Uruguay","Argentina",3,1,"Copa Lipton"
271,"1910-09-11","Chile","Argentina",0,3,"Friendly"
272,"1910-09-11","Norway","Sweden",0,4,"Friendly"
273,"1910-10-16","Germany","Netherlands",1,2,"Friendly"
274,"1910-11-06","Hungary","Austria",3,0,"Friendly"
275,"1910-11-13","Argentina","Uruguay",1,1,"Copa Premio Honor Argentino"
276,"1910-11-27","Argentina","Uruguay",2,6,"Copa Premio Honor Argentino"
277,"1911-01-01","France","Hungary",0,3,"Friendly"
278,"1911-01-06","Italy","Hungary",0,1,"Friendly"
279,"1911-01-08","Switzerland","Hungary",2,0,"Friendly"
280,"1911-01-28","Northern Ireland","Wales",1,2,"British Home Championship"
281,"1911-02-11","England","Northern Ireland",2,1,"British Home Championship"
282,"1911-03-06","Wales","Scotland",2,2,"British Home Championship"
283,"1911-03-13","England","Wales",3,0,"British Home Championship"
284,"1911-03-18","Scotland","Northern Ireland",2,0,"British Home Championship"
285,"1911-03-19","Belgium","Netherlands",1,5,"Friendly"
286,"1911-03-26","Germany","Switzerland",6,2,"Friendly"
287,"1911-04-01","England","Scotland",1,1,"British Home Championship"
288,"1911-04-02","Netherlands","Belgium",3,1,"Friendly"
289,"1911-04-09","France","Italy",2,2,"Friendly"
290,"1911-04-23","Belgium","Germany",2,1,"Friendly"
291,"1911-04-23","Switzerland","France",5,2,"Friendly"
292,"1911-04-30","Belgium","France",7,1,"Friendly"
293,"1911-05-07","Austria","Hungary",3,1,"Friendly"
294,"1911-05-07","Italy","Switzerland",2,2,"Friendly"
295,"1911-05-21","Switzerland","Italy",3,0,"Friendly"
296,"1911-06-18","Sweden","Germany",2,4,"Friendly"
297,"1911-08-15","Argentina","Uruguay",0,2,"Copa Lipton"
298,"1911-09-17","Sweden","Norway",4,1,"Friendly"
299,"1911-09-17","Uruguay","Argentina",2,3,"Copa Newton"
300,"1911-10-08","Uruguay","Argentina",1,1,"Copa Premio Honor Uruguayo"
301,"1911-10-09","Germany","Austria",1,2,"Friendly"
302,"1911-10-22","Argentina","Uruguay",2,0,"Copa Premio Honor Argentino"
303,"1911-10-22","Finland","Sweden",2,5,"Friendly"
304,"1911-10-29","Germany","Sweden",1,3,"Friendly"
305,"1911-10-29","Hungary","Switzerland",9,0,"Friendly"
306,"1911-10-29","Luxembourg","France",1,4,"Friendly"
307,"1911-10-29","Uruguay","Argentina",3,0,"Copa Premio Honor Uruguayo"
308,"1911-11-05","Hungary","Austria",2,0,"Friendly"
309,"1911-12-17","Germany","Hungary",1,4,"Friendly"
310,"1912-01-28","France","Belgium",1,1,"Friendly"
311,"1912-02-10","Northern Ireland","England",1,6,"British Home Championship"
312,"1912-02-10","France","Catalonia",7,0,"Friendly"
313,"1912-02-18","France","Switzerland",4,1,"Friendly"
314,"1912-02-20","Belgium","Switzerland",9,2,"Friendly"
315,"1912-03-02","Scotland","Wales",1,0,"British Home Championship"
316,"1912-03-10","Belgium","Netherlands",1,2,"Friendly"
317,"1912-03-11","Wales","England",0,2,"British Home Championship"
318,"1912-03-16","Northern Ireland","Scotland",1,4,"British Home Championship"
319,"1912-03-17","Italy","France",3,4,"Friendly"
320,"1912-03-23","Scotland","England",1,1,"British Home Championship"
321,"1912-03-24","Netherlands","Germany",5,5,"Friendly"
322,"1912-04-13","Wales","Northern Ireland",2,3,"British Home Championship"
323,"1912-04-14","Hungary","Germany",4,4,"Friendly"
324,"1912-04-28","Netherlands","Belgium",4,3,"Friendly"
325,"1912-05-05","Austria","Hungary",1,1,"Friendly"
326,"1912-05-05","Switzerland","Germany",1,2,"Friendly"
327,"1912-06-16","Norway","Sweden",1,2,"Friendly"
328,"1912-06-20","Sweden","Hungary",2,2,"Friendly"
329,"1912-06-23","Norway","Hungary",0,6,"Friendly"
330,"1912-06-27","Sweden","Finland",7,1,"Friendly"
331,"1912-06-30","Austria","Italy",5,1,"Friendly"
332,"1912-07-01","Austria","Norway",1,1,"Friendly"
333,"1912-07-03","Hungary","Austria",3,0,"Friendly"
334,"1912-07-03","Norway","Russia",2,1,"Friendly"
335,"1912-07-05","Netherlands","Austria",3,1,"Friendly"
336,"1912-07-12","Russia","Hungary",0,9,"Friendly"
337,"1912-07-14","Russia","Hungary",0,12,"Friendly"
338,"1912-08-15","Uruguay","Argentina",2,0,"Copa Lipton"
339,"1912-08-25","Uruguay","Argentina",3,0,"Copa Premio Honor Uruguayo"
340,"1912-09-22","Argentina","Uruguay",0,1,"Copa Premio Honor Argentino"
341,"1912-10-06","Argentina","Uruguay",3,3,"Copa Newton"
342,"1912-10-06","Denmark","Germany",3,1,"Friendly"
343,"1912-11-03","Hungary","Austria",4,0,"Friendly"
344,"1912-11-03","Sweden","Norway",4,2,"Friendly"
345,"1912-11-17","Germany","Netherlands",2,3,"Friendly"
346,"1912-12-01","Uruguay","Argentina",1,3,"Friendly"
347,"1912-12-01","Catalonia","France",1,0,"Friendly"
348,"1912-12-22","Italy","Austria",1,3,"Friendly"
349,"1913-01-12","France","Italy",1,0,"Friendly"
350,"1913-01-18","Northern Ireland","Wales",0,1,"British Home Championship"
351,"1913-02-15","Northern Ireland","England",2,1,"British Home Championship"
352,"1913-02-16","Belgium","France",3,0,"Friendly"
353,"1913-03-03","Wales","Scotland",0,0,"British Home Championship"
354,"1913-03-09","Belgium","Netherlands",3,3,"Friendly"
355,"1913-03-09","Switzerland","France",1,4,"Friendly"
356,"1913-03-15","Northern Ireland","Scotland",1,2,"British Home Championship"
357,"1913-03-17","England","Wales",4,3,"British Home Championship"
358,"1913-04-05","England","Scotland",1,0,"British Home Championship"
359,"1913-04-20","France","Luxembourg",8,0,"Friendly"
360,"1913-04-20","Netherlands","Belgium",2,4,"Friendly"
361,"1913-04-27","Austria","Hungary",1,4,"Friendly"
362,"1913-05-01","Italy","Belgium",1,0,"Friendly"
363,"1913-05-04","Russia","Sweden",1,4,"Friendly"
364,"1913-05-04","Switzerland","Belgium",1,2,"Friendly"
365,"1913-05-18","Germany","Switzerland",1,2,"Friendly"
366,"1913-05-18","Hungary","Sweden",2,0,"Friendly"
367,"1913-05-25","Denmark","Sweden",8,0,"Friendly"
368,"1913-06-08","Sweden","Norway",9,0,"Friendly"
369,"1913-06-15","Argentina","Uruguay",1,1,"Friendly"
370,"1913-06-15","Austria","Italy",2,0,"Friendly"
371,"1913-07-09","Argentina","Uruguay",2,1,"Friendly"
372,"1913-08-15","Argentina","Uruguay",4,0,"Copa Lipton"
373,"1913-08-31","Argentina","Uruguay",2,0,"Copa Premio Honor Argentino"
374,"1913-09-14","Russia","Norway",1,1,"Friendly"
375,"1913-09-21","Chile","Argentina",0,2,"Friendly"
376,"1913-10-05","Sweden","Denmark",0,10,"Friendly"
377,"1913-10-05","Uruguay","Argentina",1,0,"Copa Premio Honor Uruguayo"
378,"1913-10-26","Germany","Denmark",1,4,"Friendly"
379,"1913-10-26","Hungary","Austria",4,3,"Friendly"
380,"1913-10-26","Norway","Sweden",1,1,"Friendly"
381,"1913-10-26","Uruguay","Argentina",1,0,"Copa Newton"
382,"1913-11-02","Belgium","Switzerland",2,0,"Friendly"
383,"1913-11-23","Belgium","Germany",6,2,"Friendly"
384,"1914-01-11","Italy","Austria",0,0,"Friendly"
385,"1914-01-19","Wales","Northern Ireland",1,2,"British Home Championship"
386,"1914-01-25","France","Belgium",4,3,"Friendly"
387,"1914-02-08","Luxembourg","France",5,4,"Friendly"
388,"1914-02-14","England","Northern Ireland",0,3,"British Home Championship"
389,"1914-02-28","Scotland","Wales",0,0,"British Home Championship"
390,"1914-03-08","France","Switzerland",2,2,"Friendly"
391,"1914-03-14","Northern Ireland","Scotland",1,1,"British Home Championship"
392,"1914-03-15","Belgium","Netherlands",2,4,"Friendly"
393,"1914-03-16","Wales","England",0,2,"British Home Championship"
394,"1914-03-29","Italy","France",2,0,"Friendly"
395,"1914-04-05","Italy","Switzerland",1,1,"Friendly"
396,"1914-04-05","Netherlands","Germany",4,4,"Friendly"
397,"1914-04-14","Scotland","England",3,1,"British Home Championship"
398,"1914-04-26","Netherlands","Belgium",4,2,"Friendly"
399,"1914-05-03","Austria","Hungary",2,0,"Friendly"
400,"1914-05-17","Denmark","Netherlands",4,3,"Friendly"
401,"1914-05-17","Switzerland","Italy",0,1,"Friendly"
402,"1914-05-24","Sweden","Finland",4,3,"Friendly"
403,"1914-05-31","Hungary","France",5,1,"Friendly"
404,"1914-06-21","Sweden","Hungary",1,1,"Friendly"
405,"1914-06-28","Norway","Sweden",0,1,"Friendly"
406,"1914-07-05","Sweden","Russia",2,2,"Friendly"
407,"1914-07-12","Norway","Russia",1,1,"Friendly"
408,"1914-08-30","Uruguay","Argentina",3,2,"Copa Premio Honor Uruguayo"
409,"1914-09-13","Argentina","Uruguay",2,1,"Copa Premio Honor Argentino"
410,"1914-09-20","Argentina","Brazil",3,0,"Friendly"
411,"1914-09-27","Argentina","Brazil",0,1,"Copa Roca"
412,"1914-10-04","Hungary","Austria",2,2,"Friendly"
413,"1914-10-25","Sweden","Norway",7,0,"Friendly"
414,"1914-11-08","Austria","Hungary",1,2,"Friendly"
415,"1915-01-03","Basque Country","Catalonia",6,1,"Friendly"
416,"1915-01-31","Italy","Switzerland",3,1,"Friendly"
417,"1915-02-07","Catalonia","Basque Country",2,2,"Friendly"
418,"1915-05-02","Hungary","Austria",2,5,"Friendly"
419,"1915-05-13","Basque Country","Catalonia",1,0,"Friendly"
420,"1915-05-30","Austria","Hungary",1,2,"Friendly"
421,"1915-06-06","Denmark","Sweden",2,0,"Friendly"
422,"1915-06-27","Norway","Sweden",1,1,"Friendly"
423,"1915-07-18","Uruguay","Argentina",2,3,"Copa Premio Honor Uruguayo"
424,"1915-08-15","Argentina","Uruguay",2,1,"Copa Lipton"
425,"1915-09-12","Uruguay","Argentina",2,0,"Copa Newton"
426,"1915-09-19","Denmark","Norway",8,1,"Friendly"
427,"1915-10-03","Austria","Hungary",4,2,"Friendly"
428,"1915-10-24","Sweden","Norway",5,2,"Friendly"
429,"1915-10-31","Sweden","Denmark",0,2,"Friendly"
430,"1915-11-07","Hungary","Austria",6,2,"Friendly"
431,"1916-05-07","Austria","Hungary",3,1,"Friendly"
432,"1916-05-21","Catalonia","Basque Country",1,3,"Friendly"
433,"1916-05-22","Catalonia","Basque Country",0,0,"Friendly"
434,"1916-06-04","Denmark","Sweden",2,0,"Friendly"
435,"1916-06-04","Hungary","Austria",2,1,"Friendly"
436,"1916-06-04","Basque Country","Catalonia",5,0,"Friendly"
437,"1916-06-25","Norway","Denmark",0,2,"Friendly"
438,"1916-07-02","Chile","Uruguay",0,4,"Copa América"
439,"1916-07-02","Sweden","Norway",6,0,"Friendly"
